title,date,author,description,youtube url,categories,tag
Homebrew Tutorial: Simplify Software Installation on Mac Using This Package Manager,"April 9, 2019",Corey Schafer,"
In this video, we’ll be learning how to use the Homebrew Package Manager on MacOS",https://www.youtube.com/embed/SELYgZvAZbU,"Development, Terminal","Development, Terminal, brew, homebrew, Mac, macos, package manager"
Linux/Mac Terminal Tutorial: The Grep Command – Search Files and Directories for Patterns of Text,"March 29, 2018",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning how to use the grep command",https://www.youtube.com/embed/VGgTmxXp7xQ,"Development, Terminal","Development, Terminal, Command Line, Computer Science, Linux, OS X, Programming, Terminal, Video"
How to Run Linux/Bash on Windows 10 Using the Built-In Windows Subsystem for Linux,"March 29, 2018",Corey Schafer,"In this video, we will be learning how to run Linux on Windows using the new Windows Subsystem for Linux that comes with Windows 10",https://www.youtube.com/embed/xzgwDbe7foQ,"Development, Terminal","Development, Terminal, Bash, Command Line, Computer Science, Linux, Programming, Windows"
Linux/Mac Terminal Tutorial: How To Use The rsync Command – Sync Files Locally and Remotely,"October 10, 2017",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning how to use the rsync command",https://www.youtube.com/embed/qE77MbDnljA,"Development, Terminal","Development, Terminal, Command Line, Computer Science, Linux, Mac, OS X, Terminal, Video"
Linux/Mac Tutorial: Cron Jobs – How to Schedule Commands with crontab,"August 23, 2017",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning about cron jobs and how to schedule commands with crontab",https://www.youtube.com/embed/QZJ1drMQz1A,"Development, Terminal","Development, Terminal, Command Line, cron, cron job, crontab, Linux, Mac, OS X, Programming, Terminal, Video"
Linux/Mac Tutorial: SSH Key-Based Authentication – How to SSH Without a Password,"August 9, 2017",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning how to configure ssh keys so that we can login to our servers without a password",https://www.youtube.com/embed/vpk_1gldOAE,"Development, Terminal","Development, Terminal, Command Line, Computer Science, Linux, Mac, OS X, Programming, Terminal, Video"
Linux/Mac Terminal: How To Use The Find Command,"March 24, 2017",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning how to use the find command",https://www.youtube.com/embed/KCVaNb_zOuw,"Development, Terminal","Development, Terminal, Command Line, Computer Science, find, Linux, Programming, Video"
Linux/Mac Terminal: How To Use The cURL Command,"March 24, 2017",Corey Schafer,"In this Linux/Mac terminal tutorial, we will be learning how to use the cURL command",https://www.youtube.com/embed/WxUVU0b95Oc,"Development, Terminal","Development, Terminal, Command Line, Computer Science, Programming, Terminal, Video"
How to Install Ubuntu 16.04 LTS on VirtualBox with Guest Additions,"March 24, 2017",Corey Schafer,"In this video, we will be installing Ubuntu 16",https://www.youtube.com/embed/-2x-5DN-caM,"Development, Terminal","Development, Terminal, Command Line, Computer Science, Linux, Programming, Terminal, Video"
Customizing Your Terminal: How To Use and Modify Dotfiles,"February 5, 2016",Corey Schafer,"In this video, we will be tying together all of the information we learned in our previous two videos in order to explore and customize some pre-built dotfiles",https://www.youtube.com/embed/c5RZWDLqifA,"Development, Terminal","Development, Terminal, Command Line, Computer Science, Mac, OS X, Programming, Video"
